,Name,Attribute Vector,Percentiles
57,Youcef Belaïli,"[0.06, 0.15, 2.15, 0.3, 0.26, 0.41, 3.71, 36.81, 71.8, 4.12, 2.87, 1.97, 3.82, 5.92, 1.37, 0.36, 0.72, 0.3, 0.54]","[48, 84, 94, 99, 98, 96, 89, 18, 7, 32, 90, 96, 99, 96, 11, 5, 7, 3, 27]"
58,Youcef Belaïli,"[0.06, 0.15, 2.15, 0.3, 0.26, 0.41, 3.71, 36.81, 71.8, 4.12, 2.87, 1.97, 3.82, 5.92, 1.37, 0.36, 0.72, 0.3, 0.54]","[48, 84, 94, 99, 98, 96, 89, 18, 7, 32, 90, 96, 99, 96, 11, 5, 7, 3, 27]"
59,Haris Belkebla,"[0.03, 0.02, 0.31, 0.0, 0.02, 0.04, 1.32, 41.41, 84.5, 4.37, 0.64, 0.37, 0.51, 1.25, 2.71, 1.76, 1.08, 0.71, 0.68]","[30, 9, 4, 8, 3, 1, 9, 31, 65, 37, 17, 22, 18, 33, 82, 95, 34, 24, 38]"
60,Jean-Ricner Bellegarde,"[0.07, 0.1, 1.41, 0.22, 0.19, 0.29, 3.8, 46.21, 76.7, 5.69, 3.87, 2.12, 1.67, 4.09, 1.75, 0.97, 0.97, 0.82, 0.74]","[55, 67, 77, 94, 90, 82, 90, 42, 19, 64, 99, 97, 68, 84, 32, 44, 26, 35, 45]"
61,Jude Bellingham,"[0.3, 0.24, 2.09, 0.14, 0.13, 0.37, 4.01, 53.6, 81.7, 8.18, 3.06, 2.63, 3.6, 4.36, 2.47, 1.3, 1.79, 1.03, 1.19]","[99, 97, 94, 72, 72, 93, 93, 62, 45, 94, 92, 99, 98, 87, 73, 71, 93, 49, 71]"
62,Fran Beltrán,"[0.0, 0.03, 0.76, 0.06, 0.05, 0.08, 2.08, 57.25, 88.3, 4.35, 0.85, 0.5, 0.35, 1.04, 1.07, 1.67, 0.91, 1.1, 0.57]","[12, 16, 30, 39, 26, 17, 38, 71, 93, 37, 28, 32, 11, 25, 4, 91, 21, 54, 30]"
63,Marco Benassi,"[0.0, 0.11, 1.57, 0.0, 0.04, 0.15, 1.65, 37.04, 75.5, 2.97, 0.82, 0.66, 1.65, 2.97, 2.39, 1.07, 1.07, 1.65, 0.66]","[12, 71, 84, 8, 15, 44, 20, 19, 14, 8, 25, 43, 67, 68, 71, 53, 33, 87, 37]"
64,Marco Benassi,"[0.0, 0.11, 1.57, 0.0, 0.04, 0.15, 1.65, 37.04, 75.5, 2.97, 0.82, 0.66, 1.65, 2.97, 2.39, 1.07, 1.07, 1.65, 0.66]","[12, 71, 84, 8, 15, 44, 20, 19, 14, 8, 25, 43, 67, 68, 71, 53, 33, 87, 37]"
65,Ismaël Bennacer,"[0.1, 0.05, 0.8, 0.07, 0.12, 0.17, 3.65, 61.32, 85.4, 5.66, 1.35, 1.39, 0.42, 2.12, 2.95, 1.15, 1.04, 0.63, 0.97]","[65, 33, 32, 43, 70, 54, 88, 79, 72, 64, 52, 84, 14, 53, 90, 59, 31, 17, 58]"
66,Nabil Bentaleb,"[0.07, 0.06, 1.41, 0.14, 0.08, 0.14, 2.6, 67.0, 81.6, 6.36, 1.66, 2.28, 0.54, 1.01, 2.68, 1.59, 1.19, 1.05, 1.05]","[55, 38, 77, 77, 49, 40, 60, 89, 44, 76, 69, 98, 22, 22, 81, 88, 46, 50, 63]"
67,Rodrigo Bentancur,"[0.27, 0.12, 0.9, 0.09, 0.05, 0.17, 2.25, 55.94, 84.7, 5.71, 1.66, 1.21, 1.08, 1.17, 2.56, 1.12, 1.48, 1.17, 0.94]","[97, 75, 40, 54, 22, 51, 47, 69, 66, 65, 69, 79, 48, 30, 76, 58, 77, 59, 57]"
